"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Georgia St.",69.8133,157,68.4882,151,103.762,168,103.884,186,100.671,99,101.491,102,2.39253,131
"2017","Georgia Tech",69.1429,197,68.1493,179,95.9886,316,99.977,259,96.7752,37,90.9783,6,8.99865,77
"2017","Gonzaga",70.8026,104,70.0513,75,116.658,6,118.364,15,86.8245,1,86.3154,1,32.0482,1
"2017","Grambling St.",68.309,240,67.1141,223,98.592,273,96.5218,311,105.986,226,112.754,316,-16.2327,327
"2017","Grand Canyon",71.0163,96,68.8578,123,101.222,221,101.596,228,95.2999,20,100.629,90,0.966911,152
"2017","Green Bay",76.3539,5,74.029,7,102.286,193,101.97,218,102.216,140,103.415,151,-1.44492,190
"2017","Hampton",70.4882,116,68.5681,144,96.3653,313,93.3849,333,101.525,127,106.919,215,-13.5343,310
"2017","Hartford",69.9959,145,68.396,161,94.0402,330,92.5642,337,108.634,284,110.967,300,-18.4031,334
"2017","Harvard",67.4168,272,66.9875,234,106.261,112,106.763,131,99.5748,68,102.033,111,4.73099,112
"2017","Hawaii",68.0833,250,67.0674,226,97.8887,286,97.1045,301,99.8153,73,106.083,201,-8.97877,269
"2017","High Point",66.522,297,65.6493,291,100.454,235,98.9265,273,104.31,193,108.147,241,-9.2209,270
"2017","Hofstra",68.9009,214,67.6123,204,110.603,46,111.047,63,111.184,326,112.399,311,-1.35256,188
"2017","Holy Cross",61.5135,349,60.3303,349,97.7128,293,98.7137,278,100.894,108,102.943,136,-4.22981,215
"2017","Houston",65.7895,314,65.3153,299,111.396,36,113.544,39,98.5496,54,99.9287,79,13.6152,52
"2017","Houston Baptist",71.9185,60,70.2591,69,104.575,151,105.204,155,108.175,271,110.285,287,-5.08079,221
"2017","Howard",68.3262,239,67.9936,186,92.3911,340,90.4367,347,106.117,228,110.221,286,-19.7839,338
"2017","Idaho",67.5825,266,66.4223,259,104.037,162,101.783,224,103.254,164,106.021,199,-4.23828,216
"2017","Idaho St.",70.5848,112,68.8764,121,97.7691,292,97.8889,291,114.621,340,115.798,337,-17.9086,332
"2017","Illinois",68.481,231,66.6593,253,102.397,192,107.158,123,100.718,102,95.853,35,11.3055,66
"2017","Illinois Chicago",73.539,29,72.079,25,101.088,225,101.066,237,104.145,189,107.469,226,-6.40253,238
"2017","Illinois St.",65.5614,319,64.8537,307,104.56,152,107.626,115,92.8453,8,93.6269,19,13.9987,49
"2017","Incarnate Word",73.3612,31,71.6249,32,101.471,214,101.708,226,110.238,317,114.316,329,-12.6079,304
"2017","Indiana",69.4113,182,68.3339,167,111.972,29,116.135,27,103.762,178,101.647,104,14.4871,44
"2017","Indiana St.",70.0051,144,69.6152,91,95.9332,317,99.5444,267,102.059,136,102.321,117,-2.77691,199
"2017","Iona",72.3638,50,70.5565,60,110.087,50,110.83,66,104.754,200,106.632,211,4.19832,117
"2017","Iowa",72.8834,36,71.1539,44,107.489,90,113.035,43,104.64,195,102.556,122,10.4791,71
"2017","Iowa St.",70.6138,109,68.2961,170,112.423,25,119.732,11,101.308,119,96.2861,42,23.446,17
"2017","IUPUI",71.5585,72,69.2272,102,107.11,94,106.993,126,110.211,315,109.758,275,-2.76544,198
"2017","Jackson St.",65.6804,318,64.2993,316,96.7393,306,92.7463,336,102.533,148,109.099,258,-16.3524,329
"2017","Jacksonville",69.7785,160,67.8188,197,106.35,111,102.339,212,108.642,286,111.948,306,-9.6093,275
"2017","Jacksonville St.",64.8271,331,63.5384,329,105.599,129,105.87,147,104.685,198,105.239,186,0.631542,158
"2017","James Madison",65.6924,316,63.9128,326,99.1295,258,98.7953,275,104.734,199,104.108,162,-5.31315,223
"2017","Kansas",71.2441,85,70.1692,72,115.595,11,121.951,5,99.8468,74,94.5009,24,27.4505,6
"2017","Kansas St.",67.4704,269,66.1562,268,106.598,104,113.05,42,100.087,81,95.6102,33,17.4402,30
"2017","Kennesaw St.",71.0821,90,69.2873,101,104.731,147,102.656,206,108.559,280,110.174,285,-7.51873,253
"2017","Kent St.",70.38,123,68.2502,172,105.958,119,104.918,159,102.488,147,103.241,142,1.67702,141
"2017","Kentucky",74.2078,19,71.9409,26,113.827,15,119.099,12,96.0022,25,91.3767,7,27.7224,4
"2017","La Salle",69.2358,190,68.6009,142,107.482,91,110.577,69,108.854,288,108.773,251,1.80436,140
