"gene","isoform","time","hi","lo","mean"
"sams-1","b",0,47.3535,19.8451,33.5993
"sams-1","b",1,154.911,104.799,129.855
"sams-1","b",3,555.119,339.476,447.297
"sams-1","b",6,915.461,290.081,602.771
"sams-1","c",0,342.242,115.122,228.682
"sams-1","c",1,1351.55,652.661,1002.11
"sams-1","c",3,1283.34,640.03,961.685
"sams-1","c",6,2112.75,438.455,1275.6
"sams-3","a",0,208.281,68.3421,138.312
"sams-3","a",1,304.2,208.462,256.331
"sams-3","a",3,285.218,193.864,239.541
"sams-3","a",6,494.967,209.106,352.037
"sams-3","b",0,4.3472,1.27867,2.81294
"sams-3","b",1,22.0004,15.4695,18.7349
"sams-3","b",3,13.0782,8.71213,10.8952
"sams-3","b",6,9.01787,3.65263,6.33525
"sams-3","c",0,4.74981,0.500496,2.62515
"sams-3","c",1,52.438,35.0708,43.7544
"sams-3","c",3,13.6009,6.92142,10.2612
"sams-3","c",6,4.44544,0.203964,2.3247
"sams-3","d",0,14.0072,4.25337,9.1303
"sams-3","d",1,60.8342,42.6623,51.7482
"sams-3","d",3,37.6006,25.0287,31.3147
"sams-3","d",6,41.9782,18.4665,30.2224
"sams-3","e",0,1.33887,0.191984,0.765425
"sams-3","e",1,2.77014,1.40881,2.08948
"sams-3","e",3,2.51037,1.20772,1.85905
"sams-3","e",6,8.0612,3.17667,5.61893
"sams-3","f",0,22.3268,7.39921,14.863
"sams-3","f",1,54.7387,37.893,46.3158
"sams-3","f",3,35.6601,23.3967,29.5284
"sams-3","f",6,45.1346,19.7888,32.4617
"sams-4","a",0,137.254,48.6486,92.9515
"sams-4","a",1,163.477,115.494,139.485
"sams-4","a",3,202.424,142.126,172.275
"sams-4","a",6,320.614,149.043,234.828
"sams-4","b",0,2.73442,0.739968,1.73719
"sams-4","b",1,6.17317,3.93533,5.05425
"sams-4","b",3,2.62902,1.38989,2.00945
"sams-4","b",6,5.31586,2.04113,3.6785
"sams-4","c",0,82.7624,30.123,56.4427
"sams-4","c",1,82.6599,58.99,70.8249
"sams-4","c",3,62.8665,44.8401,53.8533
"sams-4","c",6,87.6264,42.8382,65.2323
"sams-4","d",0,6.74169,2.21501,4.47835
"sams-4","d",1,57.066,40.7918,48.9289
"sams-4","d",3,31.1588,21.9847,26.5718
"sams-4","d",6,21.4392,10.0416,15.7404
"ttn-1","a",0,0,0,0
"ttn-1","a",1,0,0,0
"ttn-1","a",3,0,0,0
"ttn-1","a",6,0,0,0
"ttn-1","b",0,0,0,0
"ttn-1","b",1,0,0,0
