Indiv,Inversion Orientation,days.til.flower,node of first flower,corolla length,tube length,corolla width,stem circumfrance (btw cot and 1st leaf),first true leaf length,first true leaf width,internode length (2nd3rd nodes),internode length (1st2nd nodes),# of stolons
226,BB,30,4,27.95,17.75,23.97,2.78,40.95,26.54,22.94,0.5,8
231,BB,24,3,30.38,18.14,20.24,3.65,40.47,30.52,58.02,15.72,3
237,BB,26,3,31.32,16.05,22.41,2.96,29.22,22.98,69.23,12.95,6
239,BB,28,3,22.26,14.6,13.88,2.63,27.54,22.88,38.31,5.58,2
240,BB,27,4,34.32,17.97,29.52,4.69,48.29,36.34,59.17,8.63,3
241,BB,24,2,34.04,18.5,28.34,2.99,32.88,37.84,48.45,9.82,4
250,BB,24,3,35.06,18.85,32.23,3.74,33.32,29.23,26.11,8.44,8
268,BB,26,3,29.03,15.03,22.33,2.22,27.43,25.9,15.23,3.85,8
272,BB,27,4,15.13,7.01,,3.42,28.8,25.98,26.02,3.78,8
273,BB,28,4,34.22,17.48,28.23,3.98,40.84,30.06,28.62,7.62,8
284,BB,30,5,42.5,17.9,43.08,4.63,31.94,26.3,15.41,8.9,16
297,BB,30,4,35.57,17.83,33.45,3.72,30.02,27.63,26.88,7.7,12
302,BB,28,4,24.28,15.47,21.35,4.34,58.66,44.54,55.26,7.34,4
311,BB,33,6,35.82,19.19,26.71,4.62,27.01,24.87,9.58,0.5,8
312,BB,22,2,32.02,18.09,31.47,2.96,36.32,35.3,48.33,21.28,4
317,BB,31,6,43.21,23.22,38.55,3.99,35.36,28.6,10.16,3.18,12
320,BB,40,4,19.66,13.31,9.59,2.51,20.3,23.72,17.22,2.44,11
322,BB,25,3,28.52,17.71,19.43,3,36.17,25.02,48.02,9.85,4
349,BB,23,3,37.1,19.23,34.63,2.84,37.81,34.38,59.06,22.02,4
358,BB,33,6,42.75,25.11,31.2,3.61,38.79,28.37,13.96,0.5,10
362,BB,24,3,37.96,21.37,30.27,3.5,38.75,32.46,47.93,12.53,4
366,BB,23,3,21.08,12.1,19.27,3.44,45.69,39.45,53.35,19.64,4
370,BB,24,3,34.29,19.07,33.14,3.26,40.73,27.26,63.06,20.25,6
376,BB,24,3,36.26,20.22,27.65,3.73,40.03,38.18,60.09,16.6,4
385,BB,29,4,29.93,17.61,27.85,3.73,37.2,31.7,43.5,10.51,4
386,BB,25,3,38,20.47,36.25,2.75,30.34,25.74,41.79,11.22,10
387,BB,30,4,37.34,19.09,34.36,2.73,20.93,19.9,20.36,0.5,12
388,BB,28,5,33.26,18.31,31.56,3.91,30.45,26.37,28.1,4.51,8
391,BB,35,3,29.44,18.17,19.77,1.87,25.5,23.07,23.38,8.96,8
392,BB,27,3,34.28,18.83,32.09,3.76,37.12,33.33,46.68,7.38,8
394,BB,24,3,29.81,14.74,24.33,3.11,44.22,37.47,60.27,23.31,4
405,BB,28,3,22.56,16.23,18.52,2.19,22.54,19.08,20.88,4.21,0
409,BB,33,5,27.65,17.26,22.74,2.39,16.4,17.95,13.64,0.5,0
423,BB,30,4,31.69,19.21,26.67,4.12,29.54,27.47,22.52,10.18,6
427,BB,36,6,49.75,29.65,36.33,5.11,49.2,27.17,18.12,5.33,12
434,BB,34,6,25,14.7,13.72,3.85,36.38,24.82,29.72,6.84,4
437,BB,31,5,24.85,17.53,17.61,2.25,16.87,18.15,14.18,3.74,10
442,BB,25,3,28.99,16.67,24.17,3.26,41.58,39.26,50.31,14.04,4
447,BB,29,4,26.89,14.58,22.74,3.3,35.71,34.26,19.54,2.13,4
455,BB,26,3,20.82,12.55,14,2.2,24.8,27.55,47.69,9.37,8
477,BB,26,3,27.49,16.79,23.58,3,42.05,27.89,54.14,15.9,6
487,BB,29,5,37.88,19.43,34.8,3.89,23.38,29.84,15.66,4.2,6
491,BB,28,4,36.6,18.89,33.71,4.1,37.31,31.09,50.67,5.83,7
499,BB,25,3,33.24,16.1,27.4,3.42,30.02,28.15,49.45,8.94,6
508,BB,40,8,52.6,31.14,36.11,4.29,48.68,27.69,20.49,0.5,14
512,BB,31,5,52.25,28.71,38.25,3.92,48.92,34.84,24.14,6.75,8
515,BB,36,7,42.54,24.22,30.71,5.34,39.85,32.24,21.47,7.97,10
516,BB,35,7,43.23,25.48,31.16,3.15,51.8,26.67,20.2,9.23,10
517,BB,38,7,,,,3.49,25.69,19.7,5.12,0.5,16
518,BB,36,7,43.35,25.6,32.41,4.13,30.52,18.73,9.17,0.5,14
520,BB,30,3,16.25,10.73,8.27,2.83,22.63,26.49,28.32,10.86,4
523,BB,26,4,36.17,19.35,28.4,3.87,39.95,27.2,35.61,5.31,4
527,BB,25,3,22.7,14.83,14.22,2.08,15.15,16.4,20.9,10.99,2
539,BB,24,3,33.54,19.87,25.01,3.12,29.85,20.24,39.55,10.7,8
540,BB,28,4,36.5,21.41,32.13,4.15,35.69,25.32,47.34,5.56,4
546,BB,40,7,48.47,26.74,37.37,4.07,26.33,21.26,16.6,2.29,10
546,BB,36,7,47.32,23.92,28.89,4.1,26.93,31.82,20.9,0.5,10
548,BB,38,8,49.11,27.47,35.48,2.63,28.59,22.14,0.5,0.5,14
549,BB,36,6,51.43,27.92,34.85,3.28,31.33,18.3,13.6,0.5,14
550,BB,37,7,48.95,27.48,37.33,4.29,26.22,20.79,0.5,0.5,10
551,BB,40,7,50.71,28.86,38.44,3.55,49.44,24.19,19.28,0.5,8
556,BB,30,6,33.19,19.47,31.01,2.93,13.68,12.14,7.99,0.5,8
571,BB,34,7,43.25,24.92,31.37,4.02,33.38,19.99,17.15,0.5,8
573,BB,33,5,27.76,13.9,22.76,1.68,10.42,5.65,15.04,0.5,12
580,BB,31,5,32.73,16.18,29.65,5.4,38.81,33.66,8.38,0.5,8
595,BB,26,4,25.52,13.79,21.75,2.83,28.21,22.71,20.97,0.5,6
602,BB,24,3,28.96,15.75,27.46,3.2,36.68,30.01,53.64,11.37,4
608,BB,35,4,20.6,11.19,15.73,3.17,42.82,29.32,20.18,13.72,10
