Indiv,Inversion Orientation,days.til.flower,node of first flower,corolla length,tube length,corolla width,stem circumfrance (btw cot and 1st leaf),first true leaf length,first true leaf width,internode length (2nd3rd nodes),internode length (1st2nd nodes),# of stolons
6,AB,31,5,32.46,17.19,26.12,2.94,20.59,22.09,22.32,6.38,8
7,AB,27,4,33.9,18.32,31.96,3.76,44.91,35.51,23.64,4.06,8
8,AB,28,4,31.38,17.67,24.19,2.57,23.01,21.23,8.31,3.03,10
19,AB,25,3,27.33,17.51,19.57,1.79,27.65,26.44,31,8.02,3
22,AB,25,3,31.32,17.2,25.1,2.89,32.19,27.31,27.3,7.35,4
24,AB,26,4,36.05,19.39,27.89,2.46,27.47,18.56,29.06,6.51,8
25,AB,27,4,31.61,17.72,24.5,2.07,20.93,14.74,8.32,3.75,6
26,AB,23,2,,9.98,,1.86,24.3,21.26,34.01,18.99,6
28,AB,39,6,16.84,11.46,11.62,1.82,15.32,13.76,9.77,0.5,10
31,AB,28,4,33.07,18.15,25.03,2.74,38.5,27.2,22.5,3.46,10
36,AB,25,3,24.95,14,21.31,1.52,23.06,19.8,10.4,11.18,4
41,AB,31,5,29.85,16.53,23.83,2.69,20.89,22.16,10.1,1.94,6
42,AB,23,3,33.84,18.89,26.56,2.35,26.19,24.53,28.02,14.15,6
46,AB,25,2,25.36,17.32,18.88,1.77,27.68,27.71,32.69,12.01,4
48,AB,27,4,31.81,18.66,25.55,2,20.28,21.64,16.94,4.45,2
51,AB,25,3,32.35,17.32,26.08,2.14,22.84,24.51,17.71,15.19,0
61,AB,25,3,33.84,17.57,27.81,3.84,27.31,23.06,33.52,4.42,8
68,AB,28,4,37.47,19.14,31.86,4.09,40.15,31.25,49.36,7.89,4
71,AB,25,3,29.35,14.48,24.03,2.68,22.77,19.99,35.11,5.34,8
75,AB,24,3,34.39,17.16,28.53,3.49,39.78,29.68,54.55,11.39,4
86,AB,26,3,33.56,16.83,30.94,2.12,36.55,29.96,19.37,7.15,4
80,AB,31,5,38.45,20.69,32.21,3.23,17.1,13.96,13.95,0.5,16
87,AB,41,7,23.06,12.95,15.57,3.21,28.2,24.2,10.38,3.82,6
88,AB,27,4,39.24,20.46,33.18,4.22,40.77,34.19,33.88,9.26,8
90,AB,24,3,21,14.08,17.03,1.86,17.21,16.15,24.61,6.75,0
101,AB,24,3,29.56,16.69,19.53,3.16,38.34,28.2,41.11,10.94,2
103,AB,30,5,38.05,20.7,29.31,3.61,26.2,23.52,12.69,0.5,12
104,AB,27,4,35.13,17.71,27.69,2.27,24.61,22.71,20.37,4.68,8
110,AB,26,4,28.06,16.34,26.7,2.37,21.48,20.4,36.71,9.62,12
115,AB,26,3,33.83,17.75,28.65,2.14,24.05,20,24.71,7.09,4
116,AB,24,3,34.25,18.68,26.65,3.16,30.41,28.56,37.42,7.33,4
117,AB,24,3,25.04,14.92,20,2.3,23.34,22.11,21.44,7.63,4
118,AB,26,4,32.81,17.34,27.96,2.88,21.69,17.81,20.47,3.73,8
124,AB,24,3,28.33,14.9,23.84,1.57,16.12,15.55,10.34,5.64,0
125,AB,41,6,36.67,19.15,30.76,2.55,22.78,13.91,0.5,0.5,14
127,AB,25,4,26.9,15.51,22.68,2.2,17.16,18.83,9.81,3.19,4
